Insertion Sort #0 iteration, execution time: 11.3333 seconds
Insertion Sort #1 iteration, execution time: 11.3644 seconds
Insertion Sort #2 iteration, execution time: 11.3765 seconds
Insertion Sort #3 iteration, execution time: 11.4074 seconds
Insertion Sort #4 iteration, execution time: 11.4007 seconds
Insertion Sort #5 iteration, execution time: 11.3959 seconds
Insertion Sort #6 iteration, execution time: 11.3209 seconds
Insertion Sort #7 iteration, execution time: 11.3499 seconds
Insertion Sort #8 iteration, execution time: 11.3564 seconds
Insertion Sort #9 iteration, execution time: 11.3781 seconds
Insertion Sort #10 iteration, execution time: 11.3674 seconds
Insertion Sort #11 iteration, execution time: 11.3248 seconds
Insertion Sort #12 iteration, execution time: 11.3525 seconds
Insertion Sort #13 iteration, execution time: 11.3924 seconds
Insertion Sort #14 iteration, execution time: 11.3407 seconds
Insertion Sort #15 iteration, execution time: 11.39 seconds
Insertion Sort #16 iteration, execution time: 11.3632 seconds
Insertion Sort #17 iteration, execution time: 11.3496 seconds
Insertion Sort #18 iteration, execution time: 11.3409 seconds
Insertion Sort #19 iteration, execution time: 11.3658 seconds
Insertion Sort #20 iteration, execution time: 11.3668 seconds
Insertion Sort #21 iteration, execution time: 11.3818 seconds
Insertion Sort #22 iteration, execution time: 11.3966 seconds
Insertion Sort #23 iteration, execution time: 11.3541 seconds
Insertion Sort #24 iteration, execution time: 11.3943 seconds
Insertion Sort #25 iteration, execution time: 11.3638 seconds
Insertion Sort #26 iteration, execution time: 11.3202 seconds
Insertion Sort #27 iteration, execution time: 11.3566 seconds
Insertion Sort #28 iteration, execution time: 11.39 seconds
Insertion Sort #29 iteration, execution time: 11.3815 seconds
Insertion Sort #30 iteration, execution time: 11.3496 seconds
Insertion Sort #31 iteration, execution time: 11.3581 seconds
Insertion Sort #32 iteration, execution time: 11.3569 seconds
Insertion Sort #33 iteration, execution time: 11.3764 seconds
Insertion Sort #34 iteration, execution time: 11.3585 seconds
Insertion Sort #35 iteration, execution time: 11.3841 seconds
Insertion Sort #36 iteration, execution time: 11.3778 seconds
Insertion Sort #37 iteration, execution time: 11.3579 seconds
Insertion Sort #38 iteration, execution time: 11.3665 seconds
Insertion Sort #39 iteration, execution time: 11.3894 seconds
Insertion Sort #40 iteration, execution time: 11.4022 seconds
Insertion Sort #41 iteration, execution time: 11.3647 seconds
Insertion Sort #42 iteration, execution time: 11.5582 seconds
Insertion Sort #43 iteration, execution time: 11.3733 seconds
Insertion Sort #44 iteration, execution time: 11.3978 seconds
Insertion Sort #45 iteration, execution time: 11.3999 seconds
Insertion Sort #46 iteration, execution time: 11.3503 seconds
Insertion Sort #47 iteration, execution time: 11.3901 seconds
Insertion Sort #48 iteration, execution time: 11.356 seconds
Insertion Sort #49 iteration, execution time: 11.3433 seconds

Insertion Sort: Average execution time: 11.3718 seconds
Insertion Sort: Standard deviation: 0.0344297 seconds
