Merge Sort #0 iteration, execution time: 0.221907 seconds
Merge Sort #1 iteration, execution time: 0.183779 seconds
Merge Sort #2 iteration, execution time: 0.183821 seconds
Merge Sort #3 iteration, execution time: 0.184058 seconds
Merge Sort #4 iteration, execution time: 0.184062 seconds
Merge Sort #5 iteration, execution time: 0.186672 seconds
Merge Sort #6 iteration, execution time: 0.184296 seconds
Merge Sort #7 iteration, execution time: 0.184399 seconds
Merge Sort #8 iteration, execution time: 0.183902 seconds
Merge Sort #9 iteration, execution time: 0.187486 seconds
Merge Sort #10 iteration, execution time: 0.187061 seconds
Merge Sort #11 iteration, execution time: 0.187201 seconds
Merge Sort #12 iteration, execution time: 0.187311 seconds
Merge Sort #13 iteration, execution time: 0.187174 seconds
Merge Sort #14 iteration, execution time: 0.183881 seconds
Merge Sort #15 iteration, execution time: 0.183661 seconds
Merge Sort #16 iteration, execution time: 0.183891 seconds
Merge Sort #17 iteration, execution time: 0.183914 seconds
Merge Sort #18 iteration, execution time: 0.18331 seconds
Merge Sort #19 iteration, execution time: 0.186842 seconds
Merge Sort #20 iteration, execution time: 0.186923 seconds
Merge Sort #21 iteration, execution time: 0.186974 seconds
Merge Sort #22 iteration, execution time: 0.187175 seconds
Merge Sort #23 iteration, execution time: 0.187071 seconds
Merge Sort #24 iteration, execution time: 0.187082 seconds
Merge Sort #25 iteration, execution time: 0.187585 seconds
Merge Sort #26 iteration, execution time: 0.187093 seconds
Merge Sort #27 iteration, execution time: 0.187671 seconds
Merge Sort #28 iteration, execution time: 0.18637 seconds
Merge Sort #29 iteration, execution time: 0.187195 seconds
Merge Sort #30 iteration, execution time: 0.184522 seconds
Merge Sort #31 iteration, execution time: 0.186554 seconds
Merge Sort #32 iteration, execution time: 0.186875 seconds
Merge Sort #33 iteration, execution time: 0.187402 seconds
Merge Sort #34 iteration, execution time: 0.187304 seconds
Merge Sort #35 iteration, execution time: 0.18512 seconds
Merge Sort #36 iteration, execution time: 0.18463 seconds
Merge Sort #37 iteration, execution time: 0.183935 seconds
Merge Sort #38 iteration, execution time: 0.185342 seconds
Merge Sort #39 iteration, execution time: 0.184641 seconds
Merge Sort #40 iteration, execution time: 0.184848 seconds
Merge Sort #41 iteration, execution time: 0.185717 seconds
Merge Sort #42 iteration, execution time: 0.184105 seconds
Merge Sort #43 iteration, execution time: 0.186118 seconds
Merge Sort #44 iteration, execution time: 0.18695 seconds
Merge Sort #45 iteration, execution time: 0.186674 seconds
Merge Sort #46 iteration, execution time: 0.184518 seconds
Merge Sort #47 iteration, execution time: 0.186261 seconds
Merge Sort #48 iteration, execution time: 0.187271 seconds
Merge Sort #49 iteration, execution time: 0.186945 seconds
