Quick Sort #0 iteration, execution time: 0.0368072 seconds
Quick Sort #1 iteration, execution time: 0.0229569 seconds
Quick Sort #2 iteration, execution time: 0.0177973 seconds
Quick Sort #3 iteration, execution time: 0.0154088 seconds
Quick Sort #4 iteration, execution time: 0.0145704 seconds
Quick Sort #5 iteration, execution time: 0.0142402 seconds
Quick Sort #6 iteration, execution time: 0.0144548 seconds
Quick Sort #7 iteration, execution time: 0.014663 seconds
Quick Sort #8 iteration, execution time: 0.01445 seconds
Quick Sort #9 iteration, execution time: 0.01483 seconds
Quick Sort #10 iteration, execution time: 0.0145189 seconds
Quick Sort #11 iteration, execution time: 0.0147395 seconds
Quick Sort #12 iteration, execution time: 0.014448 seconds
Quick Sort #13 iteration, execution time: 0.0145935 seconds
Quick Sort #14 iteration, execution time: 0.0144442 seconds
Quick Sort #15 iteration, execution time: 0.0146811 seconds
Quick Sort #16 iteration, execution time: 0.0146547 seconds
Quick Sort #17 iteration, execution time: 0.0146794 seconds
Quick Sort #18 iteration, execution time: 0.0146664 seconds
Quick Sort #19 iteration, execution time: 0.0147747 seconds
Quick Sort #20 iteration, execution time: 0.0145262 seconds
Quick Sort #21 iteration, execution time: 0.0144093 seconds
Quick Sort #22 iteration, execution time: 0.0146235 seconds
Quick Sort #23 iteration, execution time: 0.0144738 seconds
Quick Sort #24 iteration, execution time: 0.0142331 seconds
Quick Sort #25 iteration, execution time: 0.0145092 seconds
Quick Sort #26 iteration, execution time: 0.0143779 seconds
Quick Sort #27 iteration, execution time: 0.0144386 seconds
Quick Sort #28 iteration, execution time: 0.014233 seconds
Quick Sort #29 iteration, execution time: 0.0152683 seconds
Quick Sort #30 iteration, execution time: 0.0145784 seconds
Quick Sort #31 iteration, execution time: 0.0152023 seconds
Quick Sort #32 iteration, execution time: 0.0145968 seconds
Quick Sort #33 iteration, execution time: 0.0145939 seconds
Quick Sort #34 iteration, execution time: 0.0148023 seconds
Quick Sort #35 iteration, execution time: 0.0147665 seconds
Quick Sort #36 iteration, execution time: 0.0149728 seconds
Quick Sort #37 iteration, execution time: 0.0147395 seconds
Quick Sort #38 iteration, execution time: 0.0147673 seconds
Quick Sort #39 iteration, execution time: 0.0147909 seconds
Quick Sort #40 iteration, execution time: 0.0155707 seconds
Quick Sort #41 iteration, execution time: 0.0143159 seconds
Quick Sort #42 iteration, execution time: 0.0148068 seconds
Quick Sort #43 iteration, execution time: 0.0145296 seconds
Quick Sort #44 iteration, execution time: 0.014774 seconds
Quick Sort #45 iteration, execution time: 0.014538 seconds
Quick Sort #46 iteration, execution time: 0.0149232 seconds
Quick Sort #47 iteration, execution time: 0.0146726 seconds
Quick Sort #48 iteration, execution time: 0.0145505 seconds
Quick Sort #49 iteration, execution time: 0.0149203 seconds
